Channel_Name,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,Video_Type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Names_Extracted,Video_ID
Radio ZET,2025-07-25,11:00,"TYLKO W RADIU ZET: ""Chciałbym być pierwszym Polakiem na Księżycu!"" – Sławosz Uznański - Wiśniewski","W ekskluzywnym wywiadzie dla Radia ZET, drugi Polak w kosmosie Sławosz Uznański - Wiśniewski wyznaje: ""Chciałbym być pierwszym Polakiem na Księżycu"".","radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska, Sławosz Uznański, RadioZET, Polski Astronauta, Kosmos, Księżyc, Pierwszy Polak Na Księżycu, ESA, NASA, Astronautyka, Eksploracja Kosmosu, Loty Kosmiczne, Nauka, Polska W Kosmosie, Gość Radia ZET, Przyszłość Kosmosu, Ekskluzywny Wywiad, TYLKO W Radiu ZET, sławosz uznański wiśniewski",long,3756,84,40,0,hd,No,Yes,,,77UA7x9k_1U
Radio ZET,2025-07-25,08:30,Polska gotowa na WOJNĘ z Rosją?!,"Cezary Tomczyk był dziś ""Gościem Radia ZET""! Cała rozmowa na naszym kanale!","radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska, Polska, Wojna, Rosja, Chiny, Tomczyk, Cezary Tomczyk, Wiceminister Obrony, Bezpieczeństwo, NATO, Zbrojenia, wojna z rosją, wojsko polski, armia, polska armia, polityka, polska polityka, modernizacja armii, obrona, obrona narodowa, wojna w 2027, beata lubecka, lubecka, gość radia zet",long,13603,142,185,0,hd,No,Yes,,Cezary Tomczyk,bjIpZ6qAiEM
Radio ZET,2025-07-25,08:00,Jakie wino wariacie 😜? #radiozet #cobybyłogdyby,CO BY BYŁO GDYBY... kelnerzy mówili co myślą! :D,"radio zet, podcasty radio zet, co by było gdyby, robert karpowicz, Bartosz gajda, karpowicz, rozrywka, zabawa, standup, humor, suchary nowe, śmieszne, karpiu radio zet, dej suchara, suchary, radio zet śmieszne, karpiu, śmieszne filmy, śmieszne rozmowy, haha, zabawne, śmieszne polskie filmy, smieszne filmy, suchar, co by było gdyby radio zet",long,6310,57,0,0,hd,No,Yes,,,HI7mbvAerqo
Radio ZET,2025-07-25,07:02,Polska GOTOWA na WOJNĘ Z ROSJĄ?! Tomczyk: Znamy scenariusz Rosji i Chin!,"Cezary Tomczyk - wiceszef MON, poseł PO Gościem Radia ZET. Zaprasza Beata Lubecka!

Cezary Tomczyk wiceminister obrony narodowej w rozmowie z Beatą Lubecką ujawnia szczegóły dotyczące przyszłości bezpieczeństwa Polski. Potwierdza, że ""nasze wiadomości wywiadowcze mówią o  scenariuszu zagrożenia wojennego w 2027 roku."" Podkreśla, że Polska i NATO otwarcie komunikują Rosji i Chinom znajomość tych planów, aby zapobiec ich realizacji. Minister zapewnia, że ""przygotowujemy kraj i też przygotowują się","gość radia zet, breaking news, wiadomości, pilne, wiadomości dzis, wiadomości radio zet, bogdan rymanowski, informacje, serwis informacyjny, news poland, news polska, teraz na żywo, radio zet, gość radia zet na żywo, Bogdan Rymanowski Radio ZET, na żywo, Ryszard Petru, wybory prezydenckie 2025, Rafał Trzaskowski, Karol Nawrocki, sondaże wyborcze, mniejsze zło, debata prezydencka, Końskie, TV Republika, zarzuty wobec Nawrockiego, sutenerstwo",long,23604,411,222,0,hd,No,Yes,,"Zaprasza Beata, Centrum Implementacji, Wojska Polskiego, Cezary Tomczyk, Sztucznej Inteligencji",82vvKAv8AyQ
miechulec,2025-07-27,19:33,EUROWIZJA I SERIAL KRYMINALNY?! 😱 | #eurowizja #eurovision #crimestory,,,long,1024,81,5,0,hd,No,Yes,,,tSPRYfj4BWI
miechulec,2025-07-26,16:00,POLSKA 🇵🇱 NA EUROWIZJI TO STAN UMYSŁU! 🤯 Oceniam wszystkie występy,"Eurowizja jest konkursem, który od prawie 70 lat emocjonuje mieszkanców Europy i nie tylko. Od 1994 roku bierze w nim udział także Polska. Nasza historia w konkursie Eurowizja to 28 piosenek i 27 wystepów.

Czy Eurowizja rzeczywiście nas tak bardzo nie lubi? A może nasze występy są po prostu nieciekawe? Sprawdziłem to i oceniłem wszystkie polskie piosenki w konkursie Eurowizja. 

00:00 - zapowiedź i wstęp
02:37 - 1994: Edyta Górniak
04:23 - 1995: Justyna Steczkowska
05:34 - 1996: Kasia Kowalska
","eurowizja, eurowizja polska, eurovision, eurovision song contest, polska na eurowizji, poland in eurovision, edyta górniak, justyna steczkowska, gaja, eurowizji, ich troje, michał wiśniewski, michał szpak, rafał brzozowski, blanka, kasia kowalska, piasek, mietek szcześniak, blue cafe, gosia andrzejewicz, cleo, donatan, kasia moś, tulia, gromee, ochman, dziennik eurowizyjny, dobry wieczór europo, eurovibes, misja eurowizja, oceniam, ocena, występy, miechulec",long,4807,349,107,0,hd,No,Yes,,"Ich Troje, Isis Gee, Magdalena Tul, Czy Eurowizja, Kasia Kowalska",vDAn1eWgS9s
miechulec,2025-07-25,18:05,POLSKA GUROM 🇵🇱🇵🇱🇵🇱 #eurowizja #trend #shorts,,,long,5876,211,7,0,hd,No,Yes,,,GpPfkSxq9fQ
JastrzabPost,2025-07-27,14:01,"Roksana Węgiel ZAGRAŁA z mężem we własnym teledysku ""Błękit""🥰 Znamy powód!","#jastrząbpost #roksanawęgiel #błękit 
👉🏼Subskrybuj kanał: https://www.youtube.com/channel/UCOSeIrY8eAi9lEvJ3vq4xEg?sub_confirmation=1
🟠Więcej na: http://jastrzabpost.pl","plotki, gwiazdy, nowinki, celebryci, show biznes, jastrząb post, roksana węgiel, teledysk, kevin mglej, mąż węgiel, shorts",long,1060,11,0,0,hd,No,Yes,,,sc-AD1fHZdk
JastrzabPost,2025-07-27,08:00,Woliński ocenia stylizacje Igi Świątek. Zdradził też swoje zawodowe marzenie,"#jastrząbpost #dawidwoliński #igaswiatek 
👉🏼Subskrybuj kanał: https://www.youtube.com/channel/UCOSeIrY8eAi9lEvJ3vq4xEg?sub_confirmation=1
🟠Więcej na: http://jastrzabpost.pl
Woliński ocenia stylizacje Igi Świątek. Zdradził też swoje zawodowe marzenie. Więcej w naszym materiale wideo.","plotki, gwiazdy, nowinki, celebryci, show biznes, jastrząb post, iga świątek, dawid woliński, wywiad z wolińskim, moda, styl, stylizacje, juror top model, projektant mody",long,777,11,1,0,hd,No,Yes,,,JwwBrzvl37M
JastrzabPost,2025-07-27,06:00,Tyszka jest sąsiadem Wieniawy. Wyjawił o niej całą prawdę!,"#jastrząbpost #marcintyszka #juliawieniawa 
👉🏼Subskrybuj kanał: https://www.youtube.com/channel/UCOSeIrY8eAi9lEvJ3vq4xEg?sub_confirmation=1
🟠Więcej na: http://jastrzabpost.pl
Marcin Tyszka jest sąsiadem Julii Wieniawy. Wyjawił o niej całą prawdę! Więcej w naszym materiale wideo.","plotki, gwiazdy, nowinki, celebryci, show biznes, jastrząb post, julia wieniawa, marcin tyszka, fotograf, wywiad tyszką, top model, znany fotograf",long,1048,13,0,0,hd,No,Yes,,"Marcin Tyszka, Julii Wieniawy",UqzPSx825Ek
JastrzabPost,2025-07-26,13:00,"Joanna Senyszyn: ""jednego dnia GOTOWAŁAM na 40 dni"" 😮","#jastrząbpost #joannasenyszyn #shorts 
👉🏼Subskrybuj kanał: https://www.youtube.com/channel/UCOSeIrY8eAi9lEvJ3vq4xEg?sub_confirmation=1
🟠Więcej na: http://jastrzabpost.pl","plotki, gwiazdy, nowinki, celebryci, show biznes, jastrząb post, joanna senyszyn, gotowanie, polityk, shorts",long,2866,18,0,0,hd,No,Yes,,Joanna Senyszyn,LWLXO84LafE
JastrzabPost,2025-07-26,06:00,Dywany i zasłony w domu. Hit czy kit? Miruć komentuje,"#jastrząbpost  #krzysztofmiruć #projektant 
👉🏼Subskrybuj kanał: https://www.youtube.com/channel/UCOSeIrY8eAi9lEvJ3vq4xEg?sub_confirmation=1
🟠Więcej na: http://jastrzabpost.pl
Dywany i zasłony w domu. Hit czy kit? Miruć komentuje. Więcej w naszym materiale wideo.","plotki, gwiazdy, nowinki, celebryci, show biznes, jastrząb post, krzysztof miruć, projektant wnętrz, dywany, zasłony, projekt, wnętrze domu, wywiad z miruciem",long,2800,6,0,0,hd,No,Yes,,,rurLvixdg_w
JastrzabPost,2025-07-25,13:00,Stylistka Agaty Dudy o STYLU Marty Nawrockiej 😊 Dorota Goldpoint ma dla niej kilka rad,"#jastrząbpost #dorotagoldpoint #pierwszadama 
👉🏼Subskrybuj kanał: https://www.youtube.com/channel/UCOSeIrY8eAi9lEvJ3vq4xEg?sub_confirmation=1
🟠Więcej na: http://jastrzabpost.pl","plotki, gwiazdy, nowinki, celebryci, show biznes, jastrząb post, dorota goldpoint, pierwsza dama, shorts, marta nawrocka, agata duda, styl",long,4647,18,0,0,hd,No,Yes,,"Dorota Goldpoint, Stylistka Agaty, Marty Nawrockiej",O2CijzhoUOQ
JastrzabPost,2025-07-25,09:09,"Joanna Krupa nauczyła córkę mówić po polsku: ""jej ojcu się to nie podoba""","#jastrząbpost #joannakrupa #gwiazdyodzieciach 
👉🏼Subskrybuj kanał: https://www.youtube.com/channel/UCOSeIrY8eAi9lEvJ3vq4xEg?sub_confirmation=1
🟠Więcej na: https://jastrzabpost.pl/joanna-krupa-o-przeprowadzce-do-polski-i-jezykach-ktorymi-mowi-jej-corka-jej-ojcu-nie-podoba-sie-ze-mowi-po-polsku,7181350152407776a'
Joanna Krupa na co dzień mieszka w Stanach Zjednoczonych, ale często bywa w Polsce. W najnowszym wywiadzie dla Jastrząb Post ujawniła, że rozmawia z córką w języku polskim. – Mój były mąż","plotki, gwiazdy, nowinki, celebryci, show biznes, jastrząb post, joanna krupa, córka krupy, modelka, top model, gwiazdy o dzieciach, dzieci gwiazd, mąż krupy, los angeles, polska",long,9012,56,1,0,hd,No,Yes,,"Joanna Krupa, Stanach Zjednoczonych",IxBHJg3eXBU
JastrzabPost,2025-07-25,06:00,"Co z tym latem? Bartek Jędrzejak tłumaczy: ""lipiec się rozszalał""","#jastrząbpost #bartoszjędrzejak #lato 
👉🏼Subskrybuj kanał: https://www.youtube.com/channel/UCOSeIrY8eAi9lEvJ3vq4xEg?sub_confirmation=1
🟠Więcej na: http://jastrzabpost.pl
Co z tym latem? Bartek Jędrzejak tłumaczy: ""lipiec się rozszalał"". Więcej w naszym materiale wideo.","plotki, gwiazdy, nowinki, celebryci, show biznes, jastrząb post, bartosz jędrzejak, lato, wakacje, pogodynek, prezenter pogody, ddtvn, pogoda, pogoda tvn, wywiad z jędrzejakiem, dzień dobry tvn",long,229,4,0,0,hd,No,Yes,,,K3umQQsDe5o
Magazyn VIVA!,2025-07-27,14:53,"MA DOŚĆ KONTAKTU Z EX?! JOANNA KRUPA PRYWATNIE: RANDKI, CÓRKA ŻYCIE W USA | KULA VIVY!","Joanna Krupa odpowiedziała na pytania z Kuli VIVY!. Dlaczego nie ma dobrego kontaktu z byłym mężem? Jak wyglądały jej ostatnie randki? Czym różni się jej życie w Polsce i w Stanach? I co robi, by córka była szczęśliwa? Słuchał Rafał Kowalski
#joannakrupa #topmodel #quiz 

Social Media:
www.facebook.com/VivaMagazyn
www.instagram.com/viva_magazyn

Więcej na www.viva.pl","Viva, Viva Magazyn, VIVA.pl, Joanna Krupa, Wywiad z Joanną Krupą, Asia Krupa, Douglas Nunes, były mąż Krupy, Krupa były mąż, Asha Krupa, Córka Joanny Krupy, Top model, randki, życie w Stanach, Polacy w USA, Życie Polaków w Stanach, USA POLACY, język angielski i polski, quiz, wywiad, kula vivy, Rafał KOwalski, sesja do vivy, Asia Krupa prywatnie, Krupa o byłym, Krupa nowy związek, Joanna Krupa Zakochana, cooking with the Krupas, siostry Krupa, Marta Krupa, gotowanie",long,506,27,1,0,hd,No,Yes,,"Joanna Krupa, Social Media",ZAkdTdAwKqs
Magazyn VIVA!,2025-07-25,06:00,TAK MIESZKA KASIA MOŚ Z RODZINĄ! PODOBA WAM SIĘ?,"Social Media:
www.facebook.com/VivaMagazyn
www.instagram.com/viva_magazyn

Więcej na www.viva.pl","Viva, Viva Magazyn, VIVA.pl",long,13232,108,6,0,hd,No,Yes,,Social Media,cpfJcb2UQhc
Kozaczek,2025-07-27,13:10,DODA zniszczyła Labubu na scenie Łódź Summer Festival #doda #dlaciebie #dodaqueen #labubu #news,,,long,14460,45,21,0,hd,No,Yes,,Summer Festival,ae9DdWh9ghc
Kozaczek,2025-07-27,07:57,DODA pocisnęła Sławoszowi Uznańskiemu-Wiśniewskiemu #doda #dodaqueen #dlaciebie #kosmos #news,,,long,19321,108,68,0,hd,No,Yes,,,hZRM2vhsx4E
Kozaczek,2025-07-26,13:15,DODA broni Jennifer Lopez po koncercie w Polsce #dlaciebie #doda #dodaqueen #jenniferlopez #koncert,,,long,22973,224,110,0,hd,No,Yes,,Jennifer Lopez,TLzeBd07z5E
Kozaczek,2025-07-26,11:34,DODA o Jennifer Lopez: Scena bez szału #doda #koncert #jenniferlopez #jlo #dlaciebie,,,long,40454,152,23,0,hd,No,Yes,,Jennifer Lopez,LnJmulSa0xU
Kozaczek,2025-07-26,09:38,DODA o JenniferLopez: Ukradła mi stylizację #doda #dodaqueen #dlaciebie #koncert #jlo #jenniferlopez,,,long,18344,163,39,0,hd,No,Yes,,,bxqKpOZmMpo
Kozaczek,2025-07-25,09:03,Basia Kurdej-Szatan kupiła dom w Hiszpanii #hiszpania #dom #house #home #dlaciebie #news #gwiazdy,,,long,5211,19,12,0,hd,No,Yes,,Basia Kurdej,zC1crAwGtuI
Fakt GWIAZDY,2025-07-26,19:13,Jennifer Lopez i jej ostatnie chwile w Polsce 🔥❤️ #fakt #jenniferlopez #faktgwiazdy,,,long,37698,39,2,0,hd,No,Yes,,Jennifer Lopez,0V3d7tf8E_8
Fakt GWIAZDY,2025-07-25,11:13,Magda Gessler doradza mężczyznom. Tam można zabrać kobietę na randkę!,"Magda Gessler podzieliła się swoją refleksją na temat randek. Słynna restauratorka zdradziła, gdzie należy wybrać się na kolację, aby zjeść lekko, delikatnie i przy tym bardzo smacznie. Oceniła także, kto powinien zapłacić za wspólny posiłek.","Magda Gessler, masterchef, kuchnia, randka, kolacja, kobieta, mężczyzna, tvn",long,129,1,0,0,hd,No,Yes,,Magda Gessler,nA2AWDY-PIo
WP Lifestyle,2025-07-27,08:00,"Kamil ""Saful"" Nożyński wybrał swojego ulubionego RAPERA 🔥","#kamilnożyński #wywiad  #shorts 



Rozmawiał: Filip Borowiak https://www.instagram.com/fboro

🔔🔔🔔 Subskrybuj Nasze Kanały 🔔🔔🔔 
🔶🔶🔶 Kanał Wirtualna Polska:    @wp-pl 
🔶🔶🔶 Kanał Wirtualna Polska News:    @WirtualnaPolskaNews 
🔶🔶🔶 Kanał Didaskalia:   @didaskaliaWP 
🔶🔶🔶 Kanał W Polskę na weekend:   @WPolskenaWeekend 
🔶🔶🔶 Kanał Pomysł na Dom:   @pomyslnadom 
🔶🔶🔶 Kanał Pudelek:   @pudelektv  
🔶🔶🔶 Kanał Telewizja WP:   @telewizjawp6950 
🔶🔶🔶 Kanał Klatka po klatce:  @klatka.po.klatce 
🔶🔶🔶 Kanał Sportow","kamil nożyński, Kamil Nożyński, Kamil Nożyński wywiad, Kamil Nożyński The Old Guard 2, The Old Guard 2, Charlize Theron, Uma Thurman, Kamil Nożyński Netflix, The Old Guard, Ślepnąc od świateł, Cezary Pazura, Jan Frycz, Robert Więckiewicz, Doda, Doda Fake Love, Saful, Dixon37, Kamil Nożyński Saful, Saful wywiad, Saful płyta, Saful koncerty, Saful Krok w chmurach, raper, wywiad, showbiznes, Ślepnąc od świateł odcinki, Karol Nawrocki, Idź przodem bracie, shorts",long,2235,7,1,0,hd,No,Yes,,"Sportowe Fakty, Filip Borowiak, Subskrybuj Nasze, Wirtualna Polska",nRgvsXkXWDQ
WP Lifestyle,2025-07-26,08:00,"Kamil Nożyński zmagał się z depresją po sukcesie serialu ""Ślepnąc od świateł""","#kamilnożyński #wywiad  #shorts 



Rozmawiał: Filip Borowiak https://www.instagram.com/fboro

🔔🔔🔔 Subskrybuj Nasze Kanały 🔔🔔🔔 
🔶🔶🔶 Kanał Wirtualna Polska:    @wp-pl 
🔶🔶🔶 Kanał Wirtualna Polska News:    @WirtualnaPolskaNews 
🔶🔶🔶 Kanał Didaskalia:   @didaskaliaWP 
🔶🔶🔶 Kanał W Polskę na weekend:   @WPolskenaWeekend 
🔶🔶🔶 Kanał Pomysł na Dom:   @pomyslnadom 
🔶🔶🔶 Kanał Pudelek:   @pudelektv  
🔶🔶🔶 Kanał Telewizja WP:   @telewizjawp6950 
🔶🔶🔶 Kanał Klatka po klatce:  @klatka.po.klatce 
🔶🔶🔶 Kanał Sportow","kamil nożyński, Kamil Nożyński, Kamil Nożyński wywiad, Kamil Nożyński The Old Guard 2, The Old Guard 2, Charlize Theron, Uma Thurman, Kamil Nożyński Netflix, The Old Guard, Ślepnąc od świateł, Cezary Pazura, Jan Frycz, Robert Więckiewicz, Doda, Doda Fake Love, Saful, Dixon37, Kamil Nożyński Saful, Saful wywiad, Saful płyta, Saful koncerty, Saful Krok w chmurach, raper, wywiad, showbiznes, Ślepnąc od świateł odcinki, Karol Nawrocki, Idź przodem bracie, shorts",long,2593,9,0,0,hd,No,Yes,,"Sportowe Fakty, Filip Borowiak, Subskrybuj Nasze, Wirtualna Polska",4LljJk2miqM
WP Lifestyle,2025-07-25,15:01,"Kamil Nożyński CAŁOWAŁ się z DODĄ 👀 ""Dowiedziałem się dopiero...""","#kamilnożyński #wywiad  #shorts 



Rozmawiał: Filip Borowiak https://www.instagram.com/fboro

🔔🔔🔔 Subskrybuj Nasze Kanały 🔔🔔🔔 
🔶🔶🔶 Kanał Wirtualna Polska:    @wp-pl 
🔶🔶🔶 Kanał Wirtualna Polska News:    @WirtualnaPolskaNews 
🔶🔶🔶 Kanał Didaskalia:   @didaskaliaWP 
🔶🔶🔶 Kanał W Polskę na weekend:   @WPolskenaWeekend 
🔶🔶🔶 Kanał Pomysł na Dom:   @pomyslnadom 
🔶🔶🔶 Kanał Pudelek:   @pudelektv  
🔶🔶🔶 Kanał Telewizja WP:   @telewizjawp6950 
🔶🔶🔶 Kanał Klatka po klatce:  @klatka.po.klatce 
🔶🔶🔶 Kanał Sportow","kamil nożyński, Kamil Nożyński, Kamil Nożyński wywiad, Kamil Nożyński The Old Guard 2, The Old Guard 2, Charlize Theron, Uma Thurman, Kamil Nożyński Netflix, The Old Guard, Ślepnąc od świateł, Cezary Pazura, Jan Frycz, Robert Więckiewicz, Doda, Doda Fake Love, Saful, Dixon37, Kamil Nożyński Saful, Saful wywiad, Saful płyta, Saful koncerty, Saful Krok w chmurach, raper, wywiad, showbiznes, Ślepnąc od świateł odcinki, Karol Nawrocki, Idź przodem bracie, shorts",long,5106,27,0,0,hd,No,Yes,,"Sportowe Fakty, Filip Borowiak, Subskrybuj Nasze, Wirtualna Polska",YJR43FqGXf0
